t_rel,node,indexed_vectors_count,points_count,segments_count,status,optimizer_status
92.839,0,99671,100800,4,green,ok
92.839,1,97947,100800,4,green,ok
92.839,2,99925,100800,4,green,ok
97.887,1,102362,103968,4,green,ok
97.887,2,101996,103968,4,green,ok
104.907,1,102362,104672,4,green,ok
104.907,2,104011,104672,4,green,ok
110.552,1,104451,109843,5,yellow,ok
110.552,2,104011,109856,6,yellow,ok
115.62,0,108613,111038,4,green,ok
115.62,1,108613,111038,4,green,ok
122.67,0,110617,111968,4,green,ok
122.67,1,110617,111985,4,green,ok
129.4,0,584639,116722,35,yellow,ok
129.4,1,112737,116653,5,yellow,ok
129.4,2,584639,116722,35,yellow,ok
134.721,0,109378,116832,4,yellow,ok
134.721,1,114800,116735,4,green,ok
141.744,0,116245,118129,4,green,ok
141.744,1,114800,118129,5,yellow,ok
146.868,0,118921,122112,5,yellow,ok
146.868,1,119073,122053,5,yellow,ok
146.868,2,119073,122053,5,yellow,ok
151.91,0,120957,122144,4,green,ok
151.91,1,121153,122067,4,green,ok
158.932,0,120957,124352,4,green,ok
158.932,1,121153,124286,4,green,ok
158.932,2,121153,124286,4,green,ok
163.951,0,125070,126432,4,green,ok
163.951,1,123208,126355,5,yellow,ok
171.034,0,125070,127712,4,green,ok
171.034,1,125219,127712,4,green,ok
176.096,0,125070,129952,6,yellow,ok
176.096,1,125219,129898,7,yellow,ok
176.096,2,125070,129952,6,yellow,ok
192.388,0,128106,132930,5,yellow,ok
192.388,1,129841,132960,4,green,ok
192.388,2,128106,132976,5,yellow,ok
197.529,0,129841,134706,7,yellow,ok
197.529,1,129841,134706,7,yellow,ok
204.587,0,133736,135730,4,green,ok
204.587,1,133736,135762,4,green,ok
209.675,0,133736,138242,5,yellow,ok
209.675,1,133736,138257,5,yellow,ok
209.675,2,133736,138257,5,yellow,ok
