t_rel,node,indexed_vectors_count,points_count,segments_count,status,optimizer_status
92.825,0,96676,100288,4,green,ok
92.825,1,98846,100288,4,green,ok
92.825,2,99391,100302,4,green,ok
97.867,0,100803,103424,4,green,ok
97.867,1,98846,103424,5,yellow,ok
97.867,2,100281,103424,4,green,ok
102.905,0,100803,105120,5,yellow,ok
102.905,1,100910,105072,5,yellow,ok
102.905,2,101524,105120,5,yellow,ok
108.005,0,105345,107488,4,green,ok
108.005,1,103212,107566,5,yellow,ok
108.005,2,103813,107566,4,yellow,ok
113.128,0,105345,109312,5,yellow,ok
113.128,1,107502,109312,4,green,ok
113.128,2,105993,109344,5,yellow,ok
118.199,0,107530,110866,5,yellow,ok
118.199,1,107502,110814,4,green,ok
118.199,2,108261,110866,4,green,ok
123.224,0,109614,112672,4,green,ok
123.224,1,107502,112672,6,yellow,ok
123.224,2,108261,112723,5,yellow,ok
128.477,0,109614,113650,5,yellow,ok
128.477,1,109716,113650,5,yellow,ok
128.477,2,108261,113536,6,yellow,ok
134.182,0,111888,115264,5,yellow,ok
134.182,1,111985,115315,4,green,ok
134.182,2,110479,115303,5,yellow,ok
139.245,0,114139,118140,5,yellow,ok
139.245,1,114164,118208,5,yellow,ok
139.245,2,113044,118208,6,yellow,ok
144.372,0,118341,122624,5,yellow,ok
144.372,1,116341,122667,6,yellow,ok
144.372,2,115131,122688,6,yellow,ok
149.565,0,122504,128448,6,yellow,ok
149.565,1,122762,128448,7,yellow,ok
149.565,2,119317,128448,7,yellow,ok
154.612,0,126562,131296,5,yellow,ok
154.612,1,125130,131296,7,yellow,ok
154.612,2,122011,131360,7,yellow,ok
159.705,0,130935,136339,5,yellow,ok
159.705,1,127796,136433,6,yellow,ok
159.705,2,126733,136448,7,yellow,ok
164.878,0,133224,139360,5,yellow,ok
164.878,1,131210,139375,5,yellow,ok
164.878,2,128631,139392,5,yellow,ok
169.911,0,135279,145216,6,yellow,ok
169.911,1,133760,145216,6,yellow,ok
169.911,2,131409,145248,7,yellow,ok
174.993,0,137712,149088,7,yellow,ok
174.993,1,137054,149120,7,yellow,ok
174.993,2,134984,149152,7,yellow,ok
180.144,0,143635,152448,7,yellow,ok
180.144,1,143683,152544,7,yellow,ok
180.144,2,134984,152544,7,yellow,ok
185.42,0,147540,157536,7,yellow,ok
185.42,1,147908,157536,7,yellow,ok
185.42,2,142195,157587,6,yellow,ok
190.515,0,150256,159872,7,yellow,ok
190.515,1,150313,159872,7,yellow,ok
190.515,2,142195,159744,7,yellow,ok
195.554,0,156496,163424,7,yellow,ok
195.554,1,156793,163424,7,yellow,ok
195.554,2,144575,163391,6,yellow,ok
200.657,0,157463,165664,5,yellow,ok
200.657,1,156793,165632,7,yellow,ok
200.657,2,144575,165632,6,yellow,ok
205.747,0,159792,169678,7,yellow,ok
205.747,1,158162,169645,6,yellow,ok
205.747,2,151893,169760,6,yellow,ok
211.001,0,164479,172064,7,yellow,ok
211.001,1,164159,172128,7,yellow,ok
211.001,2,151893,172128,6,yellow,ok
