t_rel,node,indexed_vectors_count,points_count,segments_count,status,optimizer_status
242.006,0,200512,200532,4,green,ok
242.006,1,200512,200544,4,green,ok
242.006,2,200512,200544,4,green,ok
247.106,0,200512,205236,6,yellow,ok
247.106,1,200512,205248,6,yellow,ok
247.106,2,200512,205236,6,yellow,ok
252.191,0,202551,210624,6,yellow,ok
252.191,1,202551,210624,6,yellow,ok
252.191,2,202551,210656,6,yellow,ok
257.359,0,206676,213248,7,yellow,ok
257.359,1,207126,213248,6,yellow,ok
257.359,2,206819,213344,7,yellow,ok
262.397,0,210198,217056,7,yellow,ok
262.397,1,207126,217056,7,yellow,ok
262.397,2,206819,217056,7,yellow,ok
267.447,0,213342,219264,5,yellow,ok
267.447,1,211609,219296,6,yellow,ok
267.447,2,211068,219342,7,yellow,ok
272.633,0,216126,223025,5,yellow,ok
272.633,1,211609,223104,7,yellow,ok
272.633,2,215178,223074,7,yellow,ok
277.679,0,218465,226431,6,yellow,ok
277.679,1,215995,226464,7,yellow,ok
277.679,2,218592,226464,7,yellow,ok
282.793,0,221131,229312,7,yellow,ok
282.793,1,218107,229312,7,yellow,ok
282.793,2,220382,229344,6,yellow,ok
287.931,0,225301,231520,7,yellow,ok
287.931,1,218107,231520,7,yellow,ok
287.931,2,225027,231598,6,yellow,ok
293.156,0,226520,234112,6,yellow,ok
293.156,1,218107,234112,7,yellow,ok
293.156,2,225027,234097,7,yellow,ok
298.295,0,228646,239276,6,yellow,ok
298.295,1,224334,239392,7,yellow,ok
298.295,2,229607,239392,7,yellow,ok
303.562,0,231820,241357,6,yellow,ok
303.562,1,224334,241357,7,yellow,ok
303.562,2,233261,241376,7,yellow,ok
308.725,0,234451,246255,6,yellow,ok
308.725,1,231569,246289,7,yellow,ok
308.725,2,238118,246255,7,yellow,ok
314.444,0,238485,248352,5,yellow,ok
314.444,1,234448,248448,6,yellow,ok
314.444,2,238118,248480,7,yellow,ok
319.707,0,240994,249968,7,yellow,ok
319.707,1,234448,249984,7,yellow,ok
319.707,2,232006,249984,6,yellow,ok
324.969,0,246734,252416,6,yellow,ok
324.969,1,234448,252352,7,yellow,ok
324.969,2,243459,252389,7,yellow,ok
330.046,0,248945,256928,6,yellow,ok
330.046,1,245854,256960,6,yellow,ok
330.046,2,247681,256960,7,yellow,ok
335.084,0,248945,260672,7,yellow,ok
335.084,1,245854,260672,7,yellow,ok
335.084,2,247681,260672,7,yellow,ok
340.263,0,250994,262380,7,yellow,ok
340.263,1,245854,262400,7,yellow,ok
340.263,2,253350,262496,7,yellow,ok
345.593,0,255298,263808,7,yellow,ok
345.593,1,247419,263808,6,yellow,ok
345.593,2,255936,263808,7,yellow,ok
350.656,0,255298,266048,8,yellow,ok
350.656,1,251295,266048,7,yellow,ok
350.656,2,255936,266080,7,yellow,ok
355.738,0,255298,268658,8,yellow,ok
355.738,1,254130,268658,7,yellow,ok
355.738,2,255936,268625,7,yellow,ok
360.79,0,255298,272640,8,yellow,ok
360.79,1,254130,272640,7,yellow,ok
360.79,2,262158,272640,7,yellow,ok
