t_rel,node,indexed_vectors_count,points_count,segments_count,status,optimizer_status
350.504,2,197990,209344,7,yellow,ok
355.655,0,203093,211072,6,yellow,ok
355.655,1,196769,211072,7,yellow,ok
355.655,2,201957,211072,7,yellow,ok
361.059,0,203093,214624,7,yellow,ok
361.059,1,203463,214528,7,yellow,ok
361.059,2,204059,214624,7,yellow,ok
366.134,0,205033,216832,6,yellow,ok
366.134,1,203463,216832,7,yellow,ok
366.134,2,204059,216832,7,yellow,ok
