t_rel,node,indexed_vectors_count,points_count,segments_count,status,optimizer_status
120.872,0,99086,100416,4,green,ok
120.872,1,99838,100416,4,green,ok
120.872,2,100416,100416,4,green,ok
125.976,0,99086,104324,6,yellow,ok
125.976,1,99838,104416,6,yellow,ok
125.976,2,100416,104416,5,yellow,ok
131.063,0,103457,108653,6,yellow,ok
131.063,1,102006,108768,6,yellow,ok
131.063,2,102525,108736,6,yellow,ok
136.191,0,105465,111264,5,yellow,ok
136.191,1,104115,111240,6,yellow,ok
136.191,2,104568,111264,6,yellow,ok
141.259,0,107704,116192,6,yellow,ok
141.259,1,106180,116192,6,yellow,ok
141.259,2,106713,116192,6,yellow,ok
146.366,0,110385,118112,5,yellow,ok
146.366,1,109231,118095,6,yellow,ok
146.366,2,108325,118130,6,yellow,ok
151.469,0,113855,121920,6,yellow,ok
151.469,1,111715,121873,6,yellow,ok
151.469,2,115582,121920,5,yellow,ok
156.505,0,113855,123197,6,yellow,ok
156.505,1,115604,123200,6,yellow,ok
156.505,2,118238,123264,7,yellow,ok
161.779,0,117329,128384,6,yellow,ok
161.779,1,119017,128384,6,yellow,ok
161.779,2,120597,128391,7,yellow,ok
166.887,0,120150,130001,6,yellow,ok
166.887,1,119017,130048,6,yellow,ok
166.887,2,120597,130080,7,yellow,ok
172.235,0,124295,134432,6,yellow,ok
172.235,1,124133,134432,7,yellow,ok
172.235,2,124599,134496,7,yellow,ok
177.289,0,127649,137344,5,yellow,ok
177.289,1,126679,137397,7,yellow,ok
177.289,2,127000,137376,7,yellow,ok
182.628,0,129965,139104,7,yellow,ok
182.628,1,126679,139088,7,yellow,ok
182.628,2,127000,139072,7,yellow,ok
187.704,0,135959,142317,6,yellow,ok
187.704,1,132421,142368,7,yellow,ok
187.704,2,131664,142464,7,yellow,ok
193.146,0,135959,143744,7,yellow,ok
193.146,1,132421,143776,7,yellow,ok
193.146,2,131664,143819,7,yellow,ok
198.426,0,137952,147808,6,yellow,ok
198.426,1,137120,147808,7,yellow,ok
198.426,2,134321,147904,6,yellow,ok
203.575,0,140497,150048,5,yellow,ok
203.575,1,142669,150080,6,yellow,ok
203.575,2,137356,150092,7,yellow,ok
208.926,0,142917,151904,7,yellow,ok
208.926,1,142669,151936,7,yellow,ok
208.926,2,140359,151936,7,yellow,ok
213.968,0,148444,154240,6,yellow,ok
213.968,1,147626,154240,7,yellow,ok
213.968,2,140359,154273,7,yellow,ok
219.173,0,148444,155588,7,yellow,ok
219.173,1,147626,155616,7,yellow,ok
219.173,2,140359,155616,7,yellow,ok
224.552,0,150509,157518,6,yellow,ok
224.552,1,151690,157552,6,yellow,ok
224.552,2,148170,157600,7,yellow,ok
230.041,0,150509,157936,6,yellow,ok
230.041,1,151690,157936,7,yellow,ok
230.041,2,148170,157987,7,yellow,ok
235.24,0,152521,159057,5,yellow,ok
235.24,1,151690,158988,7,yellow,ok
235.24,2,150031,159040,6,yellow,ok
240.587,0,152521,159360,6,yellow,ok
240.587,1,153598,159378,5,yellow,ok
240.587,2,152995,159378,7,yellow,ok
246.16,0,152521,159753,6,yellow,ok
246.16,1,153598,159776,6,yellow,ok
246.16,2,152995,159776,7,yellow,ok
251.22,0,155897,160531,5,yellow,ok
251.22,1,155678,160558,5,yellow,ok
251.22,2,157806,160576,6,yellow,ok
256.481,0,158237,161776,5,yellow,ok
256.481,1,158708,161714,4,green,ok
256.481,2,157806,161760,6,yellow,ok
262.424,0,160370,162641,4,green,ok
262.424,1,158708,162656,5,yellow,ok
262.424,2,159061,162606,4,green,ok
267.508,0,160370,163712,5,yellow,ok
267.508,1,160878,163773,5,yellow,ok
267.508,2,159238,163822,6,yellow,ok
272.63,0,162405,168032,6,yellow,ok
272.63,1,162964,168000,6,yellow,ok
